"FOLDERNUMBER","FOLDERTYPE","REPORTCODE","FOLDERSTATUS","APPLICATIONDATE","APPROVEDAPPLICATIONDATE","ISSUEDDATE","COMPLETEDDATE","ROLLNUMBER","NEIGHBOURHOOD","STATSCANADABUILDINGCODE","STATSCANADABUILDINGCODEDESC","STATSCANADAWORKCODE","STATSCANADAWORKCODEDESC","STATSCANADAUNITSCREATED","STATSCANADAUNITSLOST","BUILDINGAREAM2","UNIT","HOUSE","STREET","ADDRESS","PLAN","BLOCK","LOT","LEGAL","PROPERTY_NUMBER","CONSTRUCTIONVALUE"
"BP000001","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/1/2005 12:00:00 AM","4/7/2005 12:00:00 AM","4/7/2005 12:00:00 AM","5/9/2005 12:00:00 AM","2007407300001","INDIAN BATTLE HEIGHTS","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","44.97000000","","730","BLACKFOOT TERR W","730 BLACKFOOT TERR W","0313116","21","40","PLAN 0313116 BLOCK 21 LOT 40","403623",""
"BP000002","BUILDING - COMMERCIAL","RENO","RETIRED","4/4/2005 12:00:00 AM","4/7/2005 12:00:00 AM","4/7/2005 12:00:00 AM","1/27/2010 12:00:00 AM","2007202950035","INDIAN BATTLE HEIGHTS","215","DUPLEX (SIDE X SIDE) STRATA","03","ALTERATIONS/IMPROVEMENTS","","","43.29000000","33","295","BLACKFOOT RD W","33-295 BLACKFOOT RD W","0411829","","35","PLAN 0411829 LOT 35","406213","7000.00000000"
"BP000003","BUILDING - COMMERCIAL","RENO","COMPLETED","4/4/2005 12:00:00 AM","4/7/2005 12:00:00 AM","4/7/2005 12:00:00 AM","10/26/2005 12:00:00 AM","2007202950012","INDIAN BATTLE HEIGHTS","335","ROW HOUSE STRATA","03","ALTERATIONS/IMPROVEMENTS","","","48.50000000","44","295","BLACKFOOT RD W","44-295 BLACKFOOT RD W","0411829","","12","PLAN 0411829 LOT 12","406052","8000.00000000"
"BP000004","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/4/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","10/31/2006 12:00:00 AM","4032001800001","UPLANDS","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","102.57000000","","180","KODIAK BLVD N","180 KODIAK BLVD N","0412162","18","16","PLAN 0412162 BLOCK 18 LOT 16","406353",""
"BP000005","BUILDING - RESIDENTIAL","ADDITION","COMPLETED","4/4/2005 12:00:00 AM","4/6/2005 12:00:00 AM","4/6/2005 12:00:00 AM","8/22/2005 12:00:00 AM","2006901090001","INDIAN BATTLE HEIGHTS","110","SINGLE HOUSE","02","ADDITION TO EXISTING","","","0.00000000","","109","BLACKFOOT CIR W","109 BLACKFOOT CIR W","0210784","14","30","PLAN 0210784 BLOCK 14 LOT 30","391044","6160.00000000"
"BP000006","BUILDING - RESIDENTIAL","RENO","EXPIRED","4/4/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","9/20/2006 12:00:00 AM","2026203670001","HERITAGE HEIGHTS","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","0.00000000","","367","HERITAGE BLVD W","367 HERITAGE BLVD W","0213606","7","95","PLAN 0213606 BLOCK 7 LOT 95","395244","4688.00000000"
"BP000007","BUILDING - RESIDENTIAL","NEW","CANCELLED","4/4/2005 12:00:00 AM","4/11/2005 12:00:00 AM","4/11/2005 12:00:00 AM","4/11/2005 12:00:00 AM","2009202910001","PARADISE CANYON","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","144.09000000","","291","CANYON BLVD W","291 CANYON BLVD W","9111316","9","29","PLAN 9111316 BLOCK 9 LOT 29","303208",""
"BP000008","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/4/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","2/6/2006 12:00:00 AM","1052201390001","SOUTHGATE","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","97.64000000","","139","COULEECREEK LANE S","139 COULEECREEK LANE S","0510094","14","16","PLAN 0510094 BLOCK 14 LOT 16","411071",""
"BP000009","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/5/2005 12:00:00 AM","4/5/2005 12:00:00 AM","4/5/2005 12:00:00 AM","6/9/2005 12:00:00 AM","2025800660001","HERITAGE HEIGHTS","110","SINGLE HOUSE","06","MECHANICAL","","","0.00000000","","66","HERITAGE GREEN W","66 HERITAGE GREEN W","0312415","11","55","PLAN 0312415 BLOCK 11 LOT 55","401845",""
"BP000010","BUILDING - RESIDENTIAL","GARAGE-DET","COMPLETED","4/5/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","5/26/2005 12:00:00 AM","1206012150001","LONDON ROAD","480","UTILITY BLDG","01","NEW CONSTRUCTION","","","0.00000000","","1215","6 AVE S","1215 6 AVE S","1354C","","145","PLAN 1354C LOT 145","227307","6720.00000000"
"BP000011","BUILDING - COMMERCIAL","ADDITION","COMPLETED","4/5/2005 12:00:00 AM","5/13/2005 12:00:00 AM","5/13/2005 12:00:00 AM","7/29/2005 12:00:00 AM","4202127180001","ANDERSON INDUSTRIAL PARK","430","MANUFACTURING BLDG","02","ADDITION TO EXISTING","","","11.15000000","","2720","2A AVE N","2720 2A AVE N","2038JK","5","3-6","PLAN 2038JK BLOCK 5 LOT 3
PLAN 2038JK BLOCK 5 LOT 4
PLAN 2038JK BLOCK 5 LOT 5
PLAN 2038JK BLOCK 5 LOT 6
PLAN 6003GU BLOCK 5 LOT 1
PLAN 6003GU BLOCK 5 LOT 2
PLAN 6003GU THAT PORTION OF 26 STREET NORTH WHICH LIES BETWEEN 2ND AVENUE NORTH AND 2ND ","237541",""
"BP000012","BUILDING - RESIDENTIAL","ADDITION","CANCELLED","4/5/2005 12:00:00 AM","4/7/2005 12:00:00 AM","4/7/2005 12:00:00 AM","4/13/2005 12:00:00 AM","4108012280001","STAFFORDVILLE","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","0.00000000","","1228","8 ST N","1228 8 ST N","0414235","2","67","PLAN 0414235 BLOCK 2 LOT 67","408838","7000.00000000"
"BP000013","BUILDING - RESIDENTIAL","RENO","COMPLETED","4/5/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","12/6/2005 12:00:00 AM","2043000050001","VARSITY VILLAGE","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","15.33000000","","5","LOYOLA PL W","5 LOYOLA PL W","7410379","1","19","PLAN 7410379 BLOCK 1 LOT 19","283650",""
"BP000014","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/5/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","12/19/2005 12:00:00 AM","4035604990001","UPLANDS","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","0.00000000","","499","LYNX CRES N","499 LYNX CRES N","0412170","21","23","PLAN 0412170 BLOCK 21 LOT 23","406997","86000.00000000"
"BP000015","BUILDING - RESIDENTIAL","RENO","COMPLETED","4/5/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","12/23/2008 12:00:00 AM","1085000310001","FAIRMONT","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","87.14000000","","31","FAIRMONT CRT S","31 FAIRMONT CRT S","0011671","15","26","PLAN 0011671 BLOCK 15 LOT 26","381349",""
"BP000016","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/1/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","9/30/2005 12:00:00 AM","4035603640001","UPLANDS","210","DUPLEX (SIDExSIDE)","01","NEW CONSTRUCTION","","","0.00000000","","364","LYNX CRES N","364 LYNX CRES N","0412162","19","78","PLAN 0412162 BLOCK 19 LOT 78","406507","59400.00000000"
"BP000017","BUILDING - RESIDENTIAL","NEW","CANCELLED","4/5/2005 12:00:00 AM","4/11/2005 12:00:00 AM","4/11/2005 12:00:00 AM","4/11/2005 12:00:00 AM","1052201230001","SOUTHGATE","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","94.58000000","","123","COULEECREEK LANE S","123 COULEECREEK LANE S","0510094","14","20","PLAN 0510094 BLOCK 14 LOT 20","411099",""
"BP000018","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/5/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","10/3/2005 12:00:00 AM","4035603620001","UPLANDS","210","DUPLEX (SIDExSIDE)","01","NEW CONSTRUCTION","","","0.00000000","","362","LYNX CRES N","362 LYNX CRES N","0412162","19","77","PLAN 0412162 BLOCK 19 LOT 77","406500","60000.00000000"
"BP000019","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/5/2005 12:00:00 AM","5/9/2005 12:00:00 AM","5/9/2005 12:00:00 AM","10/26/2005 12:00:00 AM","4035603750001","UPLANDS","210","DUPLEX (SIDExSIDE)","01","NEW CONSTRUCTION","","","0.00000000","","375","LYNX CRES N","375 LYNX CRES N","0412162","21","1","PLAN 0412162 BLOCK 21 LOT 1","406619","59400.00000000"
"BP000020","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/5/2005 12:00:00 AM","5/9/2005 12:00:00 AM","5/9/2005 12:00:00 AM","10/26/2005 12:00:00 AM","4035603770001","UPLANDS","210","DUPLEX (SIDExSIDE)","01","NEW CONSTRUCTION","","","0.00000000","","377","LYNX CRES N","377 LYNX CRES N","0412162","21","2","PLAN 0412162 BLOCK 21 LOT 2","406626","60000.00000000"
"BP000021","BUILDING - RESIDENTIAL","OTHER","CANCELLED","4/5/2005 12:00:00 AM","4/11/2005 12:00:00 AM","4/11/2005 12:00:00 AM","4/11/2005 12:00:00 AM","2051501340001","VARSITY VILLAGE","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","","","134","OXFORD RD W","134 OXFORD RD W","7710882","26","17","PLAN 7710882 BLOCK 26 LOT 17","270616","2560.00000000"
"BP000022","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/7/2005 12:00:00 AM","4/22/2005 12:00:00 AM","4/22/2005 12:00:00 AM","9/14/2006 12:00:00 AM","1085800410001","FAIRMONT","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","146.97000000","","41","FAIRMONT TERR S","41 FAIRMONT TERR S","0213504","11","132","PLAN 0213504 BLOCK 11 LOT 132","394978","143110.00000000"
"BP000023","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/7/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","11/7/2005 12:00:00 AM","4032000870001","UPLANDS","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","0.00000000","","87","KODIAK BLVD N","87 KODIAK BLVD N","0211964","20","22","PLAN 0211964 BLOCK 20 LOT 22","392472",""
"BP000024","BUILDING - RESIDENTIAL","MINOR","COMPLETED","4/7/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","10/7/2008 12:00:00 AM","2080000560001","RIVERSTONE","110","SINGLE HOUSE","99","USER ENTERED","","","0.00000000","","56","GRAND RIVER BLVD W","56 GRAND RIVER BLVD W","0012775","8","8","PLAN 0012775 BLOCK 8 LOT 8","383393",""
"BP000025","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/7/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","9/18/2006 12:00:00 AM","2009202910001","PARADISE CANYON","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","144.09000000","","291","CANYON BLVD W","291 CANYON BLVD W","9111316","9","29","PLAN 9111316 BLOCK 9 LOT 29","303208","141000.00000000"
"BP000026","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/7/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","10/5/2006 12:00:00 AM","2010200320001","PARADISE CANYON","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","137.40000000","","32","CANYONCREST PT W","32 CANYONCREST PT W","0312931","5","2","PLAN 0312931 BLOCK 5 LOT 2","402741","132000.00000000"
"BP000027","BUILDING - RESIDENTIAL","ADDITION","COMPLETED","4/7/2005 12:00:00 AM","4/12/2005 12:00:00 AM","4/12/2005 12:00:00 AM","5/25/2007 12:00:00 AM","2083700340001","RIVERSTONE","110","SINGLE HOUSE","02","ADDITION TO EXISTING","","","39.39000000","","34","RIVERMONT CRES W","34 RIVERMONT CRES W","0410046","8","56","PLAN 0410046 BLOCK 8 LOT 56","403896",""
"BP000028","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/7/2005 12:00:00 AM","4/19/2005 12:00:00 AM","4/19/2005 12:00:00 AM","5/3/2006 12:00:00 AM","2010100660001","PARADISE CANYON","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","0.00000000","","66","CANYONCREST CRT W","66 CANYONCREST CRT W","0312931","1","30","PLAN 0312931 BLOCK 1 LOT 30","402524","163000.00000000"
"BP000029","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/7/2005 12:00:00 AM","4/20/2005 12:00:00 AM","4/20/2005 12:00:00 AM","10/31/2006 12:00:00 AM","1114010260001","VICTORIA PARK","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","182.37000000","","1026","14 ST S","1026 14 ST S","0412644","1","36","PLAN 0412644 BLOCK 1 LOT 36","407585",""
"BP000030","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/7/2005 12:00:00 AM","4/12/2005 12:00:00 AM","4/12/2005 12:00:00 AM","3/18/2008 12:00:00 AM","4219014130001","WINSTON CHURCHILL","110","SINGLE HOUSE","15","GARAGE & CARPORT","","","44.59000000","","1413","19 AVE N","1413 19 AVE N","7510919","7","16","PLAN 7510919 BLOCK 7 LOT 16","219005",""
"BP000031","BUILDING - COMMERCIAL","OTHER","COMPLETED","4/7/2005 12:00:00 AM","4/7/2005 12:00:00 AM","4/7/2005 12:00:00 AM","4/4/2006 12:00:00 AM","1101005020001","DOWNTOWN","630","LIBRARY,MUSEUM,GALLERY","02","ADDITION TO EXISTING","","","","","502","1 ST S","502 1 ST S","0814797","1","9","PLAN 0814797 BLOCK 1 LOT 9","456031",""
"BP000032","BUILDING - RESIDENTIAL","RENO","COMPLETED","4/7/2005 12:00:00 AM","4/12/2005 12:00:00 AM","4/12/2005 12:00:00 AM","10/19/2005 12:00:00 AM","4010602530001","UPLANDS","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","92.90000000","","253","COUGAR WAY N","253 COUGAR WAY N","0011943","19","27","PLAN 0011943 BLOCK 19 LOT 27","382406",""
"BP000033","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/8/2005 12:00:00 AM","4/13/2005 12:00:00 AM","4/13/2005 12:00:00 AM","9/29/2005 12:00:00 AM","2002500110001","WEST HIGHLANDS","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","0.00000000","","11","ABERDEEN RD W","11 ABERDEEN RD W","0214278","7","34","PLAN 0214278 BLOCK 7 LOT 34","396959","66000.00000000"
"BP000034","BUILDING - RESIDENTIAL","RENO","COMPLETED","4/8/2005 12:00:00 AM","4/13/2005 12:00:00 AM","4/13/2005 12:00:00 AM","9/14/2005 12:00:00 AM","2002500070001","WEST HIGHLANDS","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","0.00000000","","7","ABERDEEN RD W","7 ABERDEEN RD W","0214278","7","33","PLAN 0214278 BLOCK 7 LOT 33","396952","1000.00000000"
"BP000035","BUILDING - COMMERCIAL","RENO","COMPLETED","4/8/2005 12:00:00 AM","4/26/2005 12:00:00 AM","4/26/2005 12:00:00 AM","8/31/2005 12:00:00 AM","4113006310001","WESTMINSTER","536","CONVENTION CENTRE","03","ALTERATIONS/IMPROVEMENTS","","","416.00000000","","631","13 ST N","631 13 ST N","8111019","8","14","PLAN 8111019 BLOCK 8 LOT 14","244961","2000.00000000"
"BP000036","BUILDING - RESIDENTIAL","MINOR","COMPLETED","4/8/2005 12:00:00 AM","4/13/2005 12:00:00 AM","4/13/2005 12:00:00 AM","11/28/2005 12:00:00 AM","2028002840001","INDIAN BATTLE HEIGHTS","110","SINGLE HOUSE","15","GARAGE & CARPORT","","","44.59000000","","284","JERRY POTTS BLVD W","284 JERRY POTTS BLVD W","8210884","6","9","PLAN 8210884 BLOCK 6 THE EASTERLY 12.050 METRES IN PERPENDICULAR WIDTH THROUHOUT OF LOT 9","235063",""
"BP000037","BUILDING - COMMERCIAL","RENO","COMPLETED","4/8/2005 12:00:00 AM","4/8/2005 12:00:00 AM","4/8/2005 12:00:00 AM","3/16/2006 12:00:00 AM","1011219250001","REDWOOD","330","ROW HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","0.00000000","8","1925","CEDAR RD S","8-1925 CEDAR RD S","","","","","454264",""
"BP000038","BUILDING - RESIDENTIAL","MINOR","COMPLETED","4/8/2005 12:00:00 AM","4/14/2005 12:00:00 AM","4/14/2005 12:00:00 AM","12/12/2006 12:00:00 AM","1112210270001","FLEETWOOD","110","SINGLE HOUSE","15","GARAGE & CARPORT","","","55.74000000","","1027","12B ST S","1027 12B ST S","2478R","1","27,28","PLAN 2478R BLOCK 1 LOTS 27 AND 28","248377",""
"BP000039","BUILDING - COMMERCIAL","RENO","CANCELLED","4/8/2005 12:00:00 AM","4/8/2005 12:00:00 AM","4/8/2005 12:00:00 AM","11/14/2005 12:00:00 AM","1011219250001","REDWOOD","330","ROW HOUSE","06","MECHANICAL","","","0.09000000","11","1925","CEDAR RD S","11-1925 CEDAR RD S","","","","","454265",""
"BP000040","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/8/2005 12:00:00 AM","4/8/2005 12:00:00 AM","4/8/2005 12:00:00 AM","11/29/2005 12:00:00 AM","4211026060001","PARK MEADOWS","110","SINGLE HOUSE","15","GARAGE & CARPORT","","","36.79000000","","2606","11 AVE N","2606 11 AVE N","6581JK","12","24","PLAN 6581JK BLOCK 12 LOT 24","287003",""
"BP000041","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/11/2005 12:00:00 AM","4/14/2005 12:00:00 AM","4/14/2005 12:00:00 AM","1/8/2010 12:00:00 AM","4035604920001","UPLANDS","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","107.86000000","","492","LYNX CRES N","492 LYNX CRES N","0412170","19","110","PLAN 0412170 BLOCK 19 LOT 110","406934",""
"BP000042","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/11/2005 12:00:00 AM","4/12/2005 12:00:00 AM","4/12/2005 12:00:00 AM","10/13/2005 12:00:00 AM","1052201230001","SOUTHGATE","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","94.58000000","","123","COULEECREEK LANE S","123 COULEECREEK LANE S","0510094","14","20","PLAN 0510094 BLOCK 14 LOT 20","411099","80000.00000000"
"BP000043","BUILDING - RESIDENTIAL","NEW","CANCELLED","4/11/2005 12:00:00 AM","4/11/2005 12:00:00 AM","4/11/2005 12:00:00 AM","4/11/2005 12:00:00 AM","4027400460001","UPLANDS","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","113.53000000","","46","GRIZZLY TERR N","46 GRIZZLY TERR N","0210727","12","48","PLAN 0210727 BLOCK 12 LOT 48","390785",""
"BP000044","BUILDING - RESIDENTIAL","ADDITION","COMPLETED","4/11/2005 12:00:00 AM","4/14/2005 12:00:00 AM","4/14/2005 12:00:00 AM","8/22/2005 12:00:00 AM","2080002070001","RIVERSTONE","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","37.53000000","","207","GRAND RIVER BLVD W","207 GRAND RIVER BLVD W","0410575","11","40","PLAN 0410575 BLOCK 11 LOT 40","404715","8000.00000000"
"BP000045","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/11/2005 12:00:00 AM","4/15/2005 12:00:00 AM","4/15/2005 12:00:00 AM","9/7/2006 12:00:00 AM","4027400460001","UPLANDS","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","113.53000000","","46","GRIZZLY TERR N","46 GRIZZLY TERR N","0210727","12","48","PLAN 0210727 BLOCK 12 LOT 48","390785","178000.00000000"
"BP000046","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/11/2005 12:00:00 AM","4/15/2005 12:00:00 AM","4/15/2005 12:00:00 AM","3/10/2006 12:00:00 AM","2002501570001","WEST HIGHLANDS","210","DUPLEX (SIDExSIDE)","01","NEW CONSTRUCTION","","","80.36000000","","157","ABERDEEN RD W","157 ABERDEEN RD W","0414578","11","15","PLAN 0414578 BLOCK 11 LOT 15","410042",""
"BP000047","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/11/2005 12:00:00 AM","4/15/2005 12:00:00 AM","4/15/2005 12:00:00 AM","12/11/2006 12:00:00 AM","2002501590001","WEST HIGHLANDS","210","DUPLEX (SIDExSIDE)","01","NEW CONSTRUCTION","","","125.05000000","","159","ABERDEEN RD W","159 ABERDEEN RD W","0414578","11","16","PLAN 0414578 BLOCK 11 LOT 16","410049",""
"BP000048","BUILDING - RESIDENTIAL","RENO","COMPLETED","4/8/2005 12:00:00 AM","4/15/2005 12:00:00 AM","4/15/2005 12:00:00 AM","8/29/2007 12:00:00 AM","1007015140001","REDWOOD","110","SINGLE HOUSE","02","ADDITION TO EXISTING","","","0.00000000","","1514","ASPEN PL S","1514 ASPEN PL S","148LK","8","2","PLAN 148LK BLOCK 8 LOT 2","349093",""
"BP000049","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/12/2005 12:00:00 AM","4/20/2005 12:00:00 AM","4/20/2005 12:00:00 AM","11/14/2005 12:00:00 AM","4106010290001","STAFFORDVILLE","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","79.90000000","","1029","6 ST N","1029 6 ST N","0511317","1","61","PLAN 0511317 BLOCK 1 LOT 61","413409",""
"BP000050","BUILDING - COMMERCIAL","RENO","COMPLETED","4/12/2005 12:00:00 AM","7/26/2005 12:00:00 AM","7/26/2005 12:00:00 AM","9/2/2005 12:00:00 AM","1207011150002","LONDON ROAD","330","ROW HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","0.00000000","2","1115","7 AVE S","2-1115 7 AVE S","0512314","","2","CONDOMINIUM PLAN 0512314 UNIT 2","414536","10000.00000000"
"BP000051","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/13/2005 12:00:00 AM","4/20/2005 12:00:00 AM","4/20/2005 12:00:00 AM","2/8/2006 12:00:00 AM","1083900760001","FAIRMONT","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","92.35000000","","76","FAIRMONT RD S","76 FAIRMONT RD S","0413932","1","9","PLAN 0413932 BLOCK 1 LOT 9","408460",""
"BP000052","BUILDING - RESIDENTIAL","RENO","COMPLETED","4/13/2005 12:00:00 AM","4/20/2005 12:00:00 AM","4/20/2005 12:00:00 AM","9/27/2005 12:00:00 AM","2026205510001","HERITAGE HEIGHTS","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","0.00000000","","551","HERITAGE BLVD W","551 HERITAGE BLVD W","0012830","7","66","PLAN 0012830 BLOCK 7 LOT 66","383673","19000.00000000"
"BP000053","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/13/2005 12:00:00 AM","4/21/2005 12:00:00 AM","4/21/2005 12:00:00 AM","10/25/2005 12:00:00 AM","1083900350001","FAIRMONT","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","0.00000000","","35","FAIRMONT RD S","35 FAIRMONT RD S","0413932","2","19","PLAN 0413932 BLOCK 2 LOT 19","408684","97000.00000000"
"BP000054","BUILDING - RESIDENTIAL","MINOR","COMPLETED","4/13/2005 12:00:00 AM","4/21/2005 12:00:00 AM","4/21/2005 12:00:00 AM","11/28/2005 12:00:00 AM","2051700210001","INDIAN BATTLE HEIGHTS","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","0.00000000","","21","PEIGAN CRT W","21 PEIGAN CRT W","9710839","9","12","PLAN 9710839 BLOCK 9 LOT 12","368679","1000.00000000"
"BP000055","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/13/2005 12:00:00 AM","5/3/2005 12:00:00 AM","5/3/2005 12:00:00 AM","8/24/2006 12:00:00 AM","2002501510001","WEST HIGHLANDS","210","DUPLEX (SIDExSIDE)","01","NEW CONSTRUCTION","","","0.00000000","","151","ABERDEEN RD W","151 ABERDEEN RD W","0414578","11","13","PLAN 0414578 BLOCK 11 LOT 13","410028","91000.00000000"
"BP000056","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/13/2005 12:00:00 AM","5/2/2005 12:00:00 AM","5/2/2005 12:00:00 AM","5/5/2006 12:00:00 AM","2002501530001","WEST HIGHLANDS","210","DUPLEX (SIDExSIDE)","01","NEW CONSTRUCTION","","","0.00000000","","153","ABERDEEN RD W","153 ABERDEEN RD W","0414578","11","14","PLAN 0414578 BLOCK 11 LOT 14","410035","65000.00000000"
"BP000057","BUILDING - COMMERCIAL","RENO","CANCELLED","4/14/2005 12:00:00 AM","5/11/2005 12:00:00 AM","5/11/2005 12:00:00 AM","5/11/2005 12:00:00 AM","2014000550001","VARSITY VILLAGE","660","DAY RELIGIOUS BLDG","02","ADDITION TO EXISTING","","","0.00000000","","55","COLUMBIA BLVD W","55 COLUMBIA BLVD W","7510445","7","1","PLAN 7510445 BLOCK 7 LOT 1 CONTAINING 1.83 HECTARES( 4.52 ACRES) MORE OR LESS EXCEPTING THEREOUT: HECTARES (ACRES) MORE OR LESS A) PLAN 9311558   SUBDIVISION              0.776    (1.92) B) PLAN 0714743   SUBDIVISION              0.016    (0.04)","453498","140000.00000000"
"BP000058","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/13/2005 12:00:00 AM","4/14/2005 12:00:00 AM","4/14/2005 12:00:00 AM","8/26/2005 12:00:00 AM","2010200240001","PARADISE CANYON","110","SINGLE HOUSE","06","MECHANICAL","","","0.00000000","","24","CANYONCREST PT W","24 CANYONCREST PT W","0312931","2","9","PLAN 0312931 BLOCK 2 LOT 9","402636",""
"BP000059","BUILDING - RESIDENTIAL","OTHER","COMPLETED","4/14/2005 12:00:00 AM","4/14/2005 12:00:00 AM","4/14/2005 12:00:00 AM","12/20/2005 12:00:00 AM","4027400420001","UPLANDS","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","","","42","GRIZZLY TERR N","42 GRIZZLY TERR N","0210727","12","47","PLAN 0210727 BLOCK 12 LOT 47","390778",""
"BP000060","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/14/2005 12:00:00 AM","4/22/2005 12:00:00 AM","4/22/2005 12:00:00 AM","9/23/2005 12:00:00 AM","1085800080001","FAIRMONT","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","129.60000000","","8","FAIRMONT TERR S","8 FAIRMONT TERR S","0213504","11","140","PLAN 0213504 BLOCK 11 LOT 140","395034","121000.00000000"
"BP000061","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/14/2005 12:00:00 AM","4/22/2005 12:00:00 AM","4/22/2005 12:00:00 AM","8/29/2005 12:00:00 AM","4032002200001","UPLANDS","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","108.51000000","","220","KODIAK BLVD N","220 KODIAK BLVD N","0413152","18","26","PLAN 0413152 BLOCK 18 LOT 26","407970","89000.00000000"
